BUSINESS_CLASSIFICATION_CODE|BUSINESS_CLASSIFICATION_DESC
4238|Machinery, Equipment, and Supplies Merchant Wholesalers
551|Management of Companies and Enterprises
5416|Management, Scientific, and Technical Consulting Services
32300|Manufacture of sports goods
12000|Manufacture of tobacco products
6215|Medical and Diagnostic Laboratories
423|Merchant Wholesalers, Durable Goods
424|Merchant Wholesalers, Nondurable Goods
4235|Metal and Mineral (except Petroleum) Merchant Wholesalers
212|Mining (except Oil and Gas)
4239|Miscellaneous Durable Goods Merchant Wholesalers
339|Miscellaneous Manufacturing
4249|Miscellaneous Nondurable Goods Merchant Wholesalers
453|Miscellaneous Store Retailers
521|Monetary Authorities-Central Bank
52231|Mortgage and nonmortgage loan brokers
512|Motion Picture and Sound Recording Industries
4231|Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
441|Motor Vehicle and Parts Dealers
712|Museums, Historical Sites, and Similar Institutions
928|National Security and International Affairs
7499|Non-trading Company
327|Nonmetallic Mineral Product Manufacturing
454|Nonstore Retailers
6231|Nursing Care Facilities
623|Nursing and Residential Care Facilities
6212|Offices of Dentists
6213|Offices of Other Health Practitioners
6211|Offices of Physicians
5312|Offices of Real Estate Agents and Brokers
211|Oil and Gas Extraction
93110|Operation of sports facilities
6219|Other Ambulatory Health Care Services
7139|Other Amusement and Recreation Industries
5239|Other Financial Investment Activities
519|Other Information Services
5259|Other Investment Pools and Funds
4412|Other Motor Vehicle Dealers
4869|Other Pipeline Transportation
5419|Other Professional, Scientific, and Technical Services
6239|Other Residential Care Facilities
5179|Other Telecommunications
74909|Other professional, scientific and technical activities not elsewhere classified
6214|Outpatient Care Centers
322|Paper Manufacturing
4241|Paper and Paper Product Merchant Wholesalers
711|Performing Arts, Spectator Sports, and Related Industries
812|Personal and Laundry Services
324|Petroleum and Coal Products Manufacturing
4247|Petroleum and Petroleum Products Merchant Wholesalers
486|Pipeline Transportation
4861|Pipeline Transportation of Crude Oil
4862|Pipeline Transportation of Natural Gas
326|Plastics and Rubber Products Manufacturing
491|Postal Service
331|Primary Metal Manufacturing
323|Printing and Related Support Activities
814|Private Households
4234|Professional and Commercial Equipment and Supplies Merchant Wholesalers
541|Professional, Scientific, and Technical Services
6222|Psychiatric and Substance Abuse Hospitals
70210|Public relations and communications activities
511|Publishing Industries (except Internet)
482|Rail Transportation
01420|Raising of other cattle and buffaloes
531|Real Estate
8131|Religious Organizations
813|Religious, Grantmaking, Civic, Professional, and Similar Organizations
532|Rental and Leasing Services
811|Repair and Maintenance
6232|Residential Mental Retardation, Mental Health and Substance Abuse Facilities
45400|Sale, maintenance and repair of motorcycles and related parts and accessories
5174|Satellite Telecommunications
487|Scenic and Sightseeing Transportation
5417|Scientific Research and Development Services
5231|Securities and Commodity Contracts Intermediation and Brokerage
5232|Securities and Commodity Exchanges
523|Securities, Commodity Contracts, and Other Financial Investments and Related Activities
4482|Shoe Stores
8133|Social Advocacy Organizations
624|Social Assistance
927|Space Research and Technology
5414|Specialized Design Services
6223|Specialty (except Psychiatric and Substance Abuse) Hospitals
238|Specialty Trade Contractors
451|Sporting Goods, Hobby, Book, and Music Stores
115|Support Activities for Agriculture and Forestry
213|Support Activities for Mining
488|Support Activities for Transportation
56103|Take-away food shops and mobile food stands
517|Telecommunications
99111|Test data 1
99112|Test data 2
99113|Test data 3
99114|Test data 4
99115|Test data 5
313|Textile Mills
314|Textile Product Mills
485|Transit and Ground Passenger Transportation
336|Transportation Equipment Manufacturing
79110|Travel agency activities
484|Truck Transportation
221|Utilities
4542|Vending Machine Operators
493|Warehousing and Storage
562|Waste Management and Remediation Services
483|Water Transportation
425|Wholesale Electronic Markets and Agents and Brokers
45310|Wholesale trade of motor vehicle parts and accessories
5171|Wired Telecommunications Carriers
5172|Wireless Telecommunications Carriers (except Satellite)
321|Wood Product Manufacturing
